order|name|line|col|start_x|end_x|start_y|end_y|start_x_48|end_x_48|start_y_48|end_y_48|start_x_64|end_x_64|start_y_64|end_y_64
1|select|1|1|0|31|0|31|0|47|0|47|0|63|0|63
2|move|1|2|32|63|0|31|48|95|0|47|64|127|0|63
3|copy|1|3|64|95|0|31|96|143|0|47|128|191|0|63
4|rotate|1|4|96|127|0|31|144|191|0|47|192|255|0|63
5|rotate_copy|1|5|128|159|0|31|192|239|0|47|256|319|0|63
6|voxel|1|6|160|191|0|31|240|287|0|47|320|383|0|63
7|segment|1|7|192|223|0|31|288|335|0|47|384|447|0|63
8|arc|1|8|224|255|0|31|336|383|0|47|448|511|0|63
9|circle|2|1|0|31|32|63|0|47|48|95|0|63|64|127
10|plane|2|2|32|63|32|63|48|95|48|95|64|127|64|127
11|sphere|2|3|64|95|32|63|96|143|48|95|128|191|64|127
12|fuzzy_sphere|2|4|96|127|32|63|144|191|48|95|192|255|64|127
13|hollow_sphere|2|5|128|159|32|63|192|239|48|95|256|319|64|127
14|frame|2|6|160|191|32|63|240|287|48|95|320|383|64|127
15|shell|2|7|192|223|32|63|288|335|48|95|384|447|64|127
16|volume|2|8|224|255|32|63|336|383|48|95|448|511|64|127
17|add_without_replace|3|1|0|31|64|95|0|47|96|143|0|63|128|191
18|add_or_replace|3|2|32|63|64|95|48|95|96|143|64|127|128|191
19|replace_only|3|3|64|95|64|95|96|143|96|143|128|191|128|191
20|file_save|3|4|96|127|64|95|144|191|96|143|192|255|128|191
21|file_open|3|5|128|159|64|95|192|239|96|143|256|319|128|191
22|delete|3|6|160|191|64|95|240|287|96|143|320|383|128|191
23|clear_selection|3|7|192|223|64|95|288|335|96|143|384|447|128|191
24|clear_guides|3|8|224|255|64|95|336|383|96|143|448|511|128|191
25|camera_perspective|4|1|0|31|96|127|0|47|144|191|0|63|192|255
26|camera_walkthrough|4|2|32|63|96|127|48|95|144|191|64|127|192|255
27|camera_orthogonal|4|3|64|95|96|127|96|143|144|191|128|191|192|255
28|camera_rotate|4|4|96|127|96|127|144|191|144|191|192|255|192|255
29|camera_pan|4|5|128|159|96|127|192|239|144|191|256|319|192|255
30|camera_zoom|4|6|160|191|96|127|240|287|144|191|320|383|192|255
31|axial_grid_helper|4|7|192|223|96|127|288|335|144|191|384|447|192|255
32|planar_grid_helper|4|8|224|255|96|127|336|383|144|191|448|511|192|255
33|view_top|5|1|0|31|128|159|0|47|192|239|0|63|256|319
34|view_front|5|2|32|63|128|159|48|95|192|239|64|127|256|319
35|view_left|5|3|64|95|128|159|96|143|192|239|128|191|256|319
36|view_right|5|4|96|127|128|159|144|191|192|239|192|255|256|319
37|view_back|5|5|128|159|128|159|192|239|192|239|256|319|256|319
38|reset|5|6|160|191|128|159|240|287|192|239|320|383|256|319
39|undo|5|7|192|223|128|159|288|335|192|239|384|447|256|319
40|redo|5|8|224|255|128|159|336|383|192|239|448|511|256|319
41|polyline|6|1|0|31|160|191|0|47|240|287|0|63|320|383
42|Undefined_6_2|6|2|32|63|160|191|48|95|240|287|64|127|320|383
43|Undefined_6_3|6|3|64|95|160|191|96|143|240|287|128|191|320|383
44|Undefined_6_4|6|4|96|127|160|191|144|191|240|287|192|255|320|383
45|Undefined_6_5|6|5|128|159|160|191|192|239|240|287|256|319|320|383
46|Undefined_6_6|6|6|160|191|160|191|240|287|240|287|320|383|320|383
47|Undefined_6_7|6|7|192|223|160|191|288|335|240|287|384|447|320|383
48|Undefined_6_8|6|8|224|255|160|191|336|383|240|287|448|511|320|383
49|Undefined_7_1|7|1|0|31|192|223|0|47|288|335|0|63|384|447
50|Undefined_7_2|7|2|32|63|192|223|48|95|288|335|64|127|384|447
51|Undefined_7_3|7|3|64|95|192|223|96|143|288|335|128|191|384|447
52|Undefined_7_4|7|4|96|127|192|223|144|191|288|335|192|255|384|447
53|Undefined_7_5|7|5|128|159|192|223|192|239|288|335|256|319|384|447
54|Undefined_7_6|7|6|160|191|192|223|240|287|288|335|320|383|384|447
55|Undefined_7_7|7|7|192|223|192|223|288|335|288|335|384|447|384|447
56|Undefined_7_8|7|8|224|255|192|223|336|383|288|335|448|511|384|447
57|Undefined_8_1|8|1|0|31|224|255|0|47|336|383|0|63|448|511
58|Undefined_8_2|8|2|32|63|224|255|48|95|336|383|64|127|448|511
59|Undefined_8_3|8|3|64|95|224|255|96|143|336|383|128|191|448|511
60|Undefined_8_4|8|4|96|127|224|255|144|191|336|383|192|255|448|511
61|Undefined_8_5|8|5|128|159|224|255|192|239|336|383|256|319|448|511
62|Undefined_8_6|8|6|160|191|224|255|240|287|336|383|320|383|448|511
63|Undefined_8_7|8|7|192|223|224|255|288|335|336|383|384|447|448|511
64|Undefined_8_8|8|8|224|255|224|255|336|383|336|383|448|511|448|511
