Country/region,Active devices,Sessions,usage
Nigeria,3,19,6.33333333333333
Uganda,1,6,6
United Kingdom,1,5,5
Myanmar,1,5,5
Panama,1,4,4
Croatia,2,7,3.5
India,22,67,3.04545454545455
Yemen,1,3,3
Thailand,1,3,3
Mauritania,1,3,3
Hungary,2,6,3
Belarus,4,11,2.75
United Arab Emirates,4,10,2.5
Turkey,4,10,2.5
Ethiopia,2,5,2.5
Russia,4,9,2.25
United States,11,23,2.09090909090909
Ukraine,1,2,2
Switzerland,1,2,2
South Africa,7,14,2
Philippines,2,4,2
Lebanon,1,2,2
Iraq,2,4,2
Guatemala,1,2,2
Indonesia,5,9,1.8
Papua New Guinea,3,5,1.66666666666667
Mexico,4,6,1.5
Zambia,1,1,1
Vietnam,4,4,1
Venezuela,1,1,1
Tanzania,1,1,1
Sri Lanka,1,1,1
Saudi Arabia,1,1,1
Pakistan,4,4,1
Moldova,1,1,1
Malaysia,1,1,1
Liberia,1,1,1
Israel,1,1,1
Ecuador,1,1,1
Colombia,3,3,1
Canada,5,5,1
Bangladesh,1,1,1
Australia,1,1,1
